query_id,category,follow_up_query,expected,predicted
QR_106,Entity switching,What about potassium?,What is my latest potassium value?,What is the user's latest potassium level?
QR_107,Entity switching,What about albumin?,What is my latest albumin value?,What is the user's latest albumin level?
QR_108,Entity switching,What about AST?,What is my latest AST value?,What is the latest AST level for the user?
QR_109,Entity switching,What about creatinine?,How is my creatinine trending?,What is the trend of my creatinine levels?
QR_110,Entity switching,What about HbA1c?,How is my HbA1c trending?,What is the current HbA1c level?
QR_111,Entity switching,What about vitamin D?,How is my vitamin D trending?,What is the status of your vitamin D levels?
QR_112,Entity switching,What about potassium?,How is my potassium trending?,What is the trend of the user's potassium level?
QR_113,Entity switching,What about platelets?,What are platelets?,What are platelets?
QR_114,Entity switching,What about HbA1c?,What is HbA1c?,What is HbA1c?
QR_115,Entity switching,What about urea?,What is urea?,What is urea?
QR_116,Entity switching,What about my glucose?,Is my glucose result abnormal?,What is the abnormal result for my glucose?
QR_117,Entity switching,What about haemoglobin?,Is my haemoglobin result abnormal?,What is the result of the haemoglobin test?
QR_118,Entity switching,What about medications?,What medications are mentioned in my medical reports?,What are the details about the medications in my reports?
QR_119,Entity switching,What about diagnoses?,What diagnoses are mentioned in my medical records?,What are the diagnoses from my reports?
QR_120,Entity switching,What about my latest result?,What is my latest HbA1c result?,What is the result of the latest HbA1c test?
QR_121,Intent preservation/shift,What about my haemoglobin?,What is my latest haemoglobin value?,What is the information regarding your haemoglobin?
QR_122,Intent preservation/shift,What about my glucose?,What is my latest glucose value?,What is the glucose level in this context?
QR_123,Intent preservation/shift,What about my result?,What is my latest HbA1c result?,What is the result of the HbA1c test?
QR_124,Intent preservation/shift,What about my latest result?,What is my latest creatinine result?,What is your latest creatinine result?
QR_125,Intent preservation/shift,How has it changed?,How has my haemoglobin changed over time?,What is the current status of your haemoglobin levels?
QR_126,Intent preservation/shift,How has it changed?,How has my glucose changed over time?,What is the current status of my glucose level?
QR_127,Intent preservation/shift,Has it been stable?,Has my HbA1c been stable over time?,What has been the stability of the user's HbA1c?
QR_128,Intent preservation/shift,Is it increasing?,Is my creatinine increasing over time?,Is the creatinine level increasing?
QR_129,Intent preservation/shift,What is the most recent one?,What is my most recent abnormal laboratory result?,What is the most recent abnormal result for the user?
QR_130,Intent preservation/shift,What about the latest report?,Which tests are abnormal in my latest report?,What is the information about the latest report regarding the test results?
QR_131,Intent preservation/shift,What is the latest report?,What is the latest medical report?,What is the latest report?
QR_132,Intent preservation/shift,What medications are listed?,What medications are listed in my medical records?,What medications are listed?
QR_133,Intent preservation/shift,Why is it important?,Why is haemoglobin important?,What is the importance of haemoglobin?
QR_134,Intent preservation/shift,Why is it measured?,Why is glucose measured?,Why is glucose measured? (Regarding the context of the previous question: What is glucose?)
QR_135,Intent preservation/shift,What does a high value mean?,What does a high creatinine value generally mean?,What does a high value mean?
QR_136,Intent preservation/shift,What do high values generally indicate?,What do high HbA1c values generally indicate?,What do high values generally indicate?
QR_137,Intent preservation/shift,What does a high value mean?,What does a high haemoglobin value generally mean?,What does a high value mean?
QR_138,Intent preservation/shift,What does a high value mean?,What does a high glucose value generally mean?,What does a high value mean?
QR_139,Intent preservation/shift,What does abnormal mean?,What does an abnormal laboratory result mean?,What does abnormal mean?
QR_140,Intent preservation/shift,What is haemoglobin?,What is haemoglobin?,What is haemoglobin?
QR_141,Context-dependent,What does that result mean?,What does my latest haemoglobin result mean?,What is the meaning of the latest haemoglobin result?
QR_142,Context-dependent,What was the latest value?,What was my latest glucose value?,What was the latest value?
QR_143,Context-dependent,What is the latest value?,What is my latest HbA1c value?,What is the latest value?
QR_144,Context-dependent,What was the previous result?,What was my previous creatinine result?,What was the previous result of the creatinine test?
QR_145,Context-dependent,What was the latest count?,What was my latest platelet count?,What was the latest count?
QR_146,Context-dependent,Is it improving?,Is my haemoglobin improving over time?,What is the current state or trend of the user's haemoglobin history?
QR_147,Context-dependent,Is the trend stable?,Is my glucose trend stable?,Is the trend stable?
QR_148,Context-dependent,Has it changed much?,Has my creatinine changed much over time?,What is the current status of the changes in your creatinine history?
QR_149,Context-dependent,Which were low?,Which of my abnormal laboratory results were low?,Which were low?
QR_150,Context-dependent,Which one was most recent?,Which abnormal laboratory test result was most recent?,What was the most recent abnormal test?
QR_151,Context-dependent,What was the main finding?,What was the main finding in my medical records?,What was the main finding?
QR_152,Context-dependent,What about medications?,What medications were mentioned in my medical reports?,What are the details about the medications in my reports?
QR_153,Context-dependent,What exactly is it?,What is haemoglobin?,What is haemoglobin?
QR_154,Context-dependent,Why is it useful?,Why is HbA1c useful?,What is the usefulness of HbA1c?
QR_155,Context-dependent,Why do doctors measure it?,Why do doctors measure creatinine?,What is the purpose of doctors measuring creatinine?
QR_156,Context-dependent,What does the test measure?,What does a glucose test measure?,What does the test measure?
QR_157,Context-dependent,What was the haemoglobin value?,What was my haemoglobin value in my latest blood test?,What was the haemoglobin value?
QR_158,Context-dependent,Which results were abnormal?,Which results were abnormal in my latest blood test?,Which results were abnormal?
QR_159,Context-dependent,How has haemoglobin changed?,How has my haemoglobin changed over time?,How has haemoglobin changed?
QR_160,Context-dependent,What diagnoses were mentioned?,What diagnoses were mentioned in my medical history?,What diagnoses were mentioned?
QR_161,Robustness/varied wording,What about before that?,What was my previous haemoglobin value?,What is the value of the user's previous Hb (hemoglobin)?
QR_162,Robustness/varied wording,And the earlier one?,What was my previous glucose value?,What was the previous glucose reading?
QR_163,Robustness/varied wording,How about the prior reading?,What was my previous creatinine value?,What was the previous reading of creatinine?
QR_164,Robustness/varied wording,What came before it?,What was my previous HbA1c result?,What was the previous HbA1c result?
QR_165,Robustness/varied wording,And the older one?,What was my previous TSH result?,What is the historical value of my TSH?
QR_166,Robustness/varied wording,And glucose?,How has my glucose changed over time?,And glucose?
QR_167,Robustness/varied wording,What about creatinine?,Is my creatinine going up or down?,What is the current status of the user's creatinine level?
QR_168,Robustness/varied wording,And TSH?,Show the trend for TSH.,And TSH?
QR_169,Robustness/varied wording,Which ones?,Which laboratory tests are flagged as abnormal?,Which tests are flagged?
QR_170,Robustness/varied wording,Which tests?,Which laboratory tests are outside the normal range?,Which tests?
QR_171,Robustness/varied wording,What about the lab reports?,What information is in my laboratory reports?,What are the details of the lab reports?
QR_172,Robustness/varied wording,What about clinical notes?,What information is in my clinical notes?,What are the clinical notes in my medical records?
QR_173,Robustness/varied wording,And HbA1c?,What is HbA1c?,And HbA1c?
QR_174,Robustness/varied wording,And creatinine?,What is creatinine?,And creatinine?
QR_175,Robustness/varied wording,And vitamin D?,What is vitamin D?,And vitamin D?
QR_176,Robustness/varied wording,Can you give me the earlier one?,What was my previous haemoglobin value?,What was the previous Hb value?
QR_177,Robustness/varied wording,Has it improved?,Has my haemoglobin improved over time?,What is the current trend of my Hb levels?
QR_178,Robustness/varied wording,Can you explain them?,Can you explain my abnormal laboratory results?,What are the abnormal lab results?
QR_179,Robustness/varied wording,Can you summarize the important parts?,Can you summarize the important information in my medical reports?,Can you summarize the important parts?
QR_180,Robustness/varied wording,What is it used for?,What is HbA1c used for?,What is the use of HbA1c?
QR_181,No-context/boundary,What is haemoglobin?,What is haemoglobin?,What is haemoglobin?
QR_182,No-context/boundary,What is HbA1c?,What is HbA1c?,What is HbA1c?
QR_183,No-context/boundary,What is my latest haemoglobin?,What is my latest haemoglobin?,What is my latest haemoglobin?
QR_184,No-context/boundary,How has my glucose changed?,How has my glucose changed?,How has my glucose changed?
QR_185,No-context/boundary,What are my abnormal lab results?,What are my abnormal lab results?,What are my abnormal lab results?
QR_186,No-context/boundary,Tell me about my records.,Tell me about my medical records.,Tell me about my records.
QR_187,No-context/boundary,What is creatinine?,What is creatinine?,What is creatinine?
QR_188,No-context/boundary,What is my latest glucose?,What is my latest glucose?,What is my latest glucose?
QR_189,No-context/boundary,Is my haemoglobin increasing?,Is my haemoglobin increasing?,Is my haemoglobin increasing?
QR_190,No-context/boundary,Which tests are abnormal?,Which tests are abnormal?,Which tests are abnormal?
QR_191,No-context/boundary,What is in my reports?,What is in my medical reports?,What is in my reports?
QR_192,No-context/boundary,What does CRP mean?,What does CRP mean?,What does CRP mean?
QR_193,No-context/boundary,What was my latest TSH?,What was my latest TSH?,What was my latest TSH?
QR_194,No-context/boundary,What is my vitamin D trend?,What is my vitamin D trend?,What is my vitamin D trend?
QR_195,No-context/boundary,Do I have abnormal results?,Do I have abnormal laboratory results?,Do I have abnormal results?
QR_196,No-context/boundary,Summarize my records.,Summarize my medical records.,Summarize my records.
QR_197,No-context/boundary,Why is sodium measured?,Why is sodium measured?,Why is sodium measured?
QR_198,No-context/boundary,What is my latest platelet count?,What is my latest platelet count?,What is my latest platelet count?
QR_199,No-context/boundary,Has my creatinine changed?,Has my creatinine changed?,Has my creatinine changed?
QR_200,No-context/boundary,What are the main findings in my records?,What are the main findings in my medical records?,What are the main findings in my records?
