query_id,category,conversation_context,follow_up_query,expected_rewritten_query,expected_intent,predicted_rewritten_query,rewrite_correct
QR_050,Temporal reference,How has my CRP changed?,What was the trend before that?,What was my CRP trend before that period?,TREND,,
QR_051,Ellipsis,What is my latest haemoglobin?,And glucose?,What is my latest glucose value?,LATEST_VALUE,,
QR_052,Ellipsis,What is my latest glucose?,And haemoglobin?,What is my latest haemoglobin value?,LATEST_VALUE,,
QR_053,Ellipsis,What is my latest creatinine?,And urea?,What is my latest urea value?,LATEST_VALUE,,
QR_054,Ellipsis,What is my latest sodium?,And potassium?,What is my latest potassium value?,LATEST_VALUE,,
QR_055,Ellipsis,What is my latest calcium?,And vitamin D?,What is my latest vitamin D value?,LATEST_VALUE,,
QR_056,Ellipsis,What is my latest ALT?,And AST?,What is my latest AST value?,LATEST_VALUE,,
QR_057,Ellipsis,What is my latest WBC?,And RBC?,What is my latest RBC value?,LATEST_VALUE,,
QR_058,Ellipsis,What is my latest HbA1c?,And TSH?,What is my latest TSH value?,LATEST_VALUE,,
QR_059,Ellipsis,How is my haemoglobin trending?,And glucose?,How is my glucose trending?,TREND,,
QR_060,Ellipsis,How is my glucose trending?,And HbA1c?,How is my HbA1c trending?,TREND,,
QR_061,Ellipsis,How is my creatinine trending?,And urea?,How is my urea trending?,TREND,,
QR_062,Ellipsis,How is my sodium trending?,And potassium?,How is my potassium trending?,TREND,,
QR_063,Ellipsis,How is my calcium trending?,And vitamin D?,How is my vitamin D trending?,TREND,,
QR_064,Ellipsis,What is the trend in ALT?,And AST?,What is the trend in AST?,TREND,,
QR_065,Ellipsis,What is the trend in WBC?,And RBC?,What is the trend in RBC?,TREND,,
QR_066,Ellipsis,What is haemoglobin?,And HbA1c?,What is HbA1c?,MEDICAL_DEFINITION,,
QR_067,Ellipsis,What is creatinine?,And urea?,What is urea?,MEDICAL_DEFINITION,,
QR_068,Ellipsis,What is sodium?,And potassium?,What is potassium?,MEDICAL_DEFINITION,,
QR_069,Ellipsis,What is calcium?,And vitamin D?,What is vitamin D?,MEDICAL_DEFINITION,,
QR_070,Ellipsis,What is ALT?,And AST?,What is AST?,MEDICAL_DEFINITION,,
QR_071,Ellipsis,What are my abnormal results?,And the normal ones?,What are the normal laboratory results in my records?,GENERAL_RAG,,
QR_072,Ellipsis,Tell me about my reports.,And the clinical notes?,What information is in my clinical notes?,GENERAL_RAG,,
QR_073,Ellipsis,Tell me about my reports.,And medications?,What medications are mentioned in my medical reports?,GENERAL_RAG,,
QR_074,Ellipsis,What are my abnormal findings?,And the high ones?,Which of my abnormal laboratory results are high?,ABNORMAL_LABS,,
QR_075,Ellipsis,Which tests are abnormal?,And the low ones?,Which of my abnormal laboratory results are low?,ABNORMAL_LABS,,
QR_076,Multi-turn reference,What is my latest haemoglobin?,Was it normal?,Was my latest haemoglobin value normal?,LATEST_VALUE,,
QR_077,Multi-turn reference,Was my haemoglobin normal?,What about the previous result?,Was my previous haemoglobin result normal?,LATEST_VALUE,,
QR_078,Multi-turn reference,What was my previous haemoglobin?,And before that?,What was my haemoglobin value before the previous result?,LATEST_VALUE,,
QR_079,Multi-turn reference,What was my latest glucose?,Was it high?,Was my latest glucose value high?,LATEST_VALUE,,
QR_080,Multi-turn reference,Was my glucose high?,What about the previous test?,Was my glucose value high in the previous test?,LATEST_VALUE,,
QR_081,Multi-turn reference,What was my latest HbA1c?,Is that the current one?,Is that my latest HbA1c value?,LATEST_VALUE,,
QR_082,Multi-turn reference,What is my latest creatinine?,Was it higher than before?,Was my latest creatinine higher than my previous result?,TREND,,
QR_083,Multi-turn reference,How has my glucose changed?,When did it start increasing?,When did my glucose start increasing?,TREND,,
QR_084,Multi-turn reference,How has my haemoglobin changed?,When was the lowest?,When was my haemoglobin at its lowest?,TREND,,
QR_085,Multi-turn reference,What is my HbA1c trend?,Has it been stable recently?,Has my HbA1c been stable recently?,TREND,,
QR_086,Multi-turn reference,What is my creatinine trend?,Was it improving before?,Was my creatinine improving previously?,TREND,,
QR_087,Multi-turn reference,What are my abnormal lab results?,Which one is the most recent?,Which abnormal laboratory result is the most recent?,ABNORMAL_LABS,,
QR_088,Multi-turn reference,Which of my tests are abnormal?,Which one is the oldest?,Which abnormal laboratory result is the oldest?,ABNORMAL_LABS,,
QR_089,Multi-turn reference,What are the abnormal findings?,Were any of them repeated?,Were any of my abnormal laboratory findings repeated?,ABNORMAL_LABS,,
QR_090,Multi-turn reference,Tell me about my medical records.,Which report is the latest?,Which medical report is the latest?,GENERAL_RAG,,
QR_091,Multi-turn reference,Which report is the latest?,What about the previous one?,Which medical report came before the latest report?,GENERAL_RAG,,
QR_092,Multi-turn reference,What medications are in my records?,When was the latest one mentioned?,When was a medication most recently mentioned in my medical records?,GENERAL_RAG,,
QR_093,Multi-turn reference,What diagnoses are in my records?,What about earlier notes?,What diagnoses were mentioned in earlier clinical notes?,GENERAL_RAG,,
QR_094,Multi-turn reference,What is haemoglobin?,How is it measured?,How is haemoglobin measured?,MEDICAL_DEFINITION,,
QR_095,Multi-turn reference,How is haemoglobin measured?,Why is it useful?,Why is haemoglobin measurement useful?,MEDICAL_DEFINITION,,
QR_096,Multi-turn reference,What is HbA1c?,How often is it measured?,How often is HbA1c measured?,MEDICAL_DEFINITION,,
QR_097,Multi-turn reference,What is creatinine?,Where does it come from?,Where does creatinine come from?,MEDICAL_DEFINITION,,
QR_098,Multi-turn reference,What is CRP?,When is it usually tested?,When is CRP usually tested?,MEDICAL_DEFINITION,,
QR_099,Multi-turn reference,What is TSH?,Why is it checked?,Why is TSH checked?,MEDICAL_DEFINITION,,
QR_100,Multi-turn reference,What is vitamin D?,Why is it important?,Why is vitamin D important?,MEDICAL_DEFINITION,,
QR_101,Entity switching,What is my latest haemoglobin?,What about glucose?,What is my latest glucose value?,LATEST_VALUE,,
QR_102,Entity switching,What is my latest glucose?,What about creatinine?,What is my latest creatinine value?,LATEST_VALUE,,
QR_103,Entity switching,What is my latest creatinine?,What about HbA1c?,What is my latest HbA1c value?,LATEST_VALUE,,
QR_104,Entity switching,What is my latest HbA1c?,What about TSH?,What is my latest TSH value?,LATEST_VALUE,,
QR_105,Entity switching,What is my latest TSH?,What about vitamin D?,What is my latest vitamin D value?,LATEST_VALUE,,
QR_106,Entity switching,What is my latest sodium?,What about potassium?,What is my latest potassium value?,LATEST_VALUE,,
QR_107,Entity switching,What is my latest calcium?,What about albumin?,What is my latest albumin value?,LATEST_VALUE,,
QR_108,Entity switching,What is my latest ALT?,What about AST?,What is my latest AST value?,LATEST_VALUE,,
QR_109,Entity switching,How is my haemoglobin trending?,What about creatinine?,How is my creatinine trending?,TREND,,
QR_110,Entity switching,How is my glucose trending?,What about HbA1c?,How is my HbA1c trending?,TREND,,
QR_111,Entity switching,How is my TSH trending?,What about vitamin D?,How is my vitamin D trending?,TREND,,
QR_112,Entity switching,How is my sodium trending?,What about potassium?,How is my potassium trending?,TREND,,
QR_113,Entity switching,What is haemoglobin?,What about platelets?,What are platelets?,MEDICAL_DEFINITION,,
QR_114,Entity switching,What is glucose?,What about HbA1c?,What is HbA1c?,MEDICAL_DEFINITION,,
QR_115,Entity switching,What is creatinine?,What about urea?,What is urea?,MEDICAL_DEFINITION,,
QR_116,Entity switching,What are my abnormal results?,What about my glucose?,Is my glucose result abnormal?,ABNORMAL_LABS,,
QR_117,Entity switching,What are my abnormal results?,What about haemoglobin?,Is my haemoglobin result abnormal?,ABNORMAL_LABS,,
QR_118,Entity switching,Tell me about my reports.,What about medications?,What medications are mentioned in my medical reports?,GENERAL_RAG,,
QR_119,Entity switching,Tell me about my reports.,What about diagnoses?,What diagnoses are mentioned in my medical records?,GENERAL_RAG,,
QR_120,Entity switching,What is HbA1c?,What about my latest result?,What is my latest HbA1c result?,LATEST_VALUE,,
QR_121,Intent preservation/shift,What is haemoglobin?,What about my haemoglobin?,What is my latest haemoglobin value?,LATEST_VALUE,,
QR_122,Intent preservation/shift,What is glucose?,What about my glucose?,What is my latest glucose value?,LATEST_VALUE,,
QR_123,Intent preservation/shift,What is HbA1c?,What about my result?,What is my latest HbA1c result?,LATEST_VALUE,,
QR_124,Intent preservation/shift,What is creatinine?,What about my latest result?,What is my latest creatinine result?,LATEST_VALUE,,
QR_125,Intent preservation/shift,What was my haemoglobin?,How has it changed?,How has my haemoglobin changed over time?,TREND,,
QR_126,Intent preservation/shift,What was my glucose?,How has it changed?,How has my glucose changed over time?,TREND,,
QR_127,Intent preservation/shift,What was my HbA1c?,Has it been stable?,Has my HbA1c been stable over time?,TREND,,
QR_128,Intent preservation/shift,What was my creatinine?,Is it increasing?,Is my creatinine increasing over time?,TREND,,
QR_129,Intent preservation/shift,What are my abnormal results?,What is the most recent one?,What is my most recent abnormal laboratory result?,ABNORMAL_LABS,,
QR_130,Intent preservation/shift,Which tests are abnormal?,What about the latest report?,Which tests are abnormal in my latest report?,ABNORMAL_LABS,,
QR_131,Intent preservation/shift,Tell me about my records.,What is the latest report?,What is the latest medical report?,GENERAL_RAG,,
QR_132,Intent preservation/shift,Tell me about my records.,What medications are listed?,What medications are listed in my medical records?,GENERAL_RAG,,
QR_133,Intent preservation/shift,What is haemoglobin?,Why is it important?,Why is haemoglobin important?,MEDICAL_DEFINITION,,
QR_134,Intent preservation/shift,What is glucose?,Why is it measured?,Why is glucose measured?,MEDICAL_DEFINITION,,
QR_135,Intent preservation/shift,What is creatinine?,What does a high value mean?,What does a high creatinine value generally mean?,MEDICAL_DEFINITION,,
QR_136,Intent preservation/shift,What is HbA1c?,What do high values generally indicate?,What do high HbA1c values generally indicate?,MEDICAL_DEFINITION,,
QR_137,Intent preservation/shift,What was my latest haemoglobin?,What does a high value mean?,What does a high haemoglobin value generally mean?,MEDICAL_DEFINITION,,
QR_138,Intent preservation/shift,What was my latest glucose?,What does a high value mean?,What does a high glucose value generally mean?,MEDICAL_DEFINITION,,
QR_139,Intent preservation/shift,What are my abnormal results?,What does abnormal mean?,What does an abnormal laboratory result mean?,MEDICAL_DEFINITION,,
QR_140,Intent preservation/shift,Tell me about my records.,What is haemoglobin?,What is haemoglobin?,MEDICAL_DEFINITION,,
QR_141,Context-dependent,My latest haemoglobin was reported.,What does that result mean?,What does my latest haemoglobin result mean?,LATEST_VALUE,,
QR_142,Context-dependent,We discussed my glucose result.,What was the latest value?,What was my latest glucose value?,LATEST_VALUE,,
QR_143,Context-dependent,You showed me my HbA1c trend.,What is the latest value?,What is my latest HbA1c value?,LATEST_VALUE,,
QR_144,Context-dependent,We looked at my creatinine.,What was the previous result?,What was my previous creatinine result?,LATEST_VALUE,,
QR_145,Context-dependent,My platelet results were discussed.,What was the latest count?,What was my latest platelet count?,LATEST_VALUE,,
QR_146,Context-dependent,We discussed my haemoglobin history.,Is it improving?,Is my haemoglobin improving over time?,TREND,,
QR_147,Context-dependent,We reviewed my glucose results.,Is the trend stable?,Is my glucose trend stable?,TREND,,
QR_148,Context-dependent,You showed my creatinine history.,Has it changed much?,Has my creatinine changed much over time?,TREND,,
QR_149,Context-dependent,We discussed abnormal lab results.,Which were low?,Which of my abnormal laboratory results were low?,ABNORMAL_LABS,,
QR_150,Context-dependent,You listed abnormal tests.,Which one was most recent?,Which abnormal laboratory test result was most recent?,ABNORMAL_LABS,,
QR_151,Context-dependent,We reviewed my medical records.,What was the main finding?,What was the main finding in my medical records?,GENERAL_RAG,,
QR_152,Context-dependent,You summarized my reports.,What about medications?,What medications were mentioned in my medical reports?,GENERAL_RAG,,
QR_153,Context-dependent,We were discussing haemoglobin.,What exactly is it?,What is haemoglobin?,MEDICAL_DEFINITION,,
QR_154,Context-dependent,We were discussing HbA1c.,Why is it useful?,Why is HbA1c useful?,MEDICAL_DEFINITION,,
QR_155,Context-dependent,We were discussing creatinine.,Why do doctors measure it?,Why do doctors measure creatinine?,MEDICAL_DEFINITION,,
QR_156,Context-dependent,We were discussing glucose.,What does the test measure?,What does a glucose test measure?,MEDICAL_DEFINITION,,
QR_157,Context-dependent,We reviewed my latest blood test.,What was the haemoglobin value?,What was my haemoglobin value in my latest blood test?,LATEST_VALUE,,
QR_158,Context-dependent,We reviewed my latest blood test.,Which results were abnormal?,Which results were abnormal in my latest blood test?,ABNORMAL_LABS,,
QR_159,Context-dependent,We reviewed my lab history.,How has haemoglobin changed?,How has my haemoglobin changed over time?,TREND,,
QR_160,Context-dependent,We reviewed my medical history.,What diagnoses were mentioned?,What diagnoses were mentioned in my medical history?,GENERAL_RAG,,
QR_161,Robustness/varied wording,Give me my latest Hb.,What about before that?,What was my previous haemoglobin value?,LATEST_VALUE,,
QR_162,Robustness/varied wording,Tell me the current glucose reading.,And the earlier one?,What was my previous glucose value?,LATEST_VALUE,,
QR_163,Robustness/varied wording,Show my most recent creatinine.,How about the prior reading?,What was my previous creatinine value?,LATEST_VALUE,,
QR_164,Robustness/varied wording,Give me the newest HbA1c result.,What came before it?,What was my previous HbA1c result?,LATEST_VALUE,,
QR_165,Robustness/varied wording,Show me my current TSH.,And the older one?,What was my previous TSH result?,LATEST_VALUE,,
QR_166,Robustness/varied wording,How's my Hb doing over time?,And glucose?,How has my glucose changed over time?,TREND,,
QR_167,Robustness/varied wording,Is my glucose going up or down?,What about creatinine?,Is my creatinine going up or down?,TREND,,
QR_168,Robustness/varied wording,Show the trend for HbA1c.,And TSH?,Show the trend for TSH.,TREND,,
QR_169,Robustness/varied wording,Are any tests flagged?,Which ones?,Which laboratory tests are flagged as abnormal?,ABNORMAL_LABS,,
QR_170,Robustness/varied wording,Anything outside the normal range?,Which tests?,Which laboratory tests are outside the normal range?,ABNORMAL_LABS,,
QR_171,Robustness/varied wording,Give me a summary of my records.,What about the lab reports?,What information is in my laboratory reports?,GENERAL_RAG,,
QR_172,Robustness/varied wording,Go through my medical records.,What about clinical notes?,What information is in my clinical notes?,GENERAL_RAG,,
QR_173,Robustness/varied wording,Define haemoglobin.,And HbA1c?,What is HbA1c?,MEDICAL_DEFINITION,,
QR_174,Robustness/varied wording,Explain glucose.,And creatinine?,What is creatinine?,MEDICAL_DEFINITION,,
QR_175,Robustness/varied wording,What does TSH mean?,And vitamin D?,What is vitamin D?,MEDICAL_DEFINITION,,
QR_176,Robustness/varied wording,What is the latest Hb?,Can you give me the earlier one?,What was my previous haemoglobin value?,LATEST_VALUE,,
QR_177,Robustness/varied wording,How's my Hb trending?,Has it improved?,Has my haemoglobin improved over time?,TREND,,
QR_178,Robustness/varied wording,Any abnormal labs?,Can you explain them?,Can you explain my abnormal laboratory results?,ABNORMAL_LABS,,
QR_179,Robustness/varied wording,What's in my reports?,Can you summarize the important parts?,Can you summarize the important information in my medical reports?,GENERAL_RAG,,
QR_180,Robustness/varied wording,What is HbA1c?,What is it used for?,What is HbA1c used for?,MEDICAL_DEFINITION,,
QR_181,No-context/boundary,,What is haemoglobin?,What is haemoglobin?,MEDICAL_DEFINITION,,
QR_182,No-context/boundary,,What is HbA1c?,What is HbA1c?,MEDICAL_DEFINITION,,
QR_183,No-context/boundary,,What is my latest haemoglobin?,What is my latest haemoglobin?,LATEST_VALUE,,
QR_184,No-context/boundary,,How has my glucose changed?,How has my glucose changed?,TREND,,
QR_185,No-context/boundary,,What are my abnormal lab results?,What are my abnormal lab results?,ABNORMAL_LABS,,
QR_186,No-context/boundary,,Tell me about my records.,Tell me about my medical records.,GENERAL_RAG,,
QR_187,No-context/boundary,,What is creatinine?,What is creatinine?,MEDICAL_DEFINITION,,
QR_188,No-context/boundary,,What is my latest glucose?,What is my latest glucose?,LATEST_VALUE,,
QR_189,No-context/boundary,,Is my haemoglobin increasing?,Is my haemoglobin increasing?,TREND,,
QR_190,No-context/boundary,,Which tests are abnormal?,Which tests are abnormal?,ABNORMAL_LABS,,
QR_191,No-context/boundary,,What is in my reports?,What is in my medical reports?,GENERAL_RAG,,
QR_192,No-context/boundary,,What does CRP mean?,What does CRP mean?,MEDICAL_DEFINITION,,
QR_193,No-context/boundary,,What was my latest TSH?,What was my latest TSH?,LATEST_VALUE,,
QR_194,No-context/boundary,,What is my vitamin D trend?,What is my vitamin D trend?,TREND,,
QR_195,No-context/boundary,,Do I have abnormal results?,Do I have abnormal laboratory results?,ABNORMAL_LABS,,
QR_196,No-context/boundary,,Summarize my records.,Summarize my medical records.,GENERAL_RAG,,
QR_197,No-context/boundary,,Why is sodium measured?,Why is sodium measured?,MEDICAL_DEFINITION,,
QR_198,No-context/boundary,,What is my latest platelet count?,What is my latest platelet count?,LATEST_VALUE,,
QR_199,No-context/boundary,,Has my creatinine changed?,Has my creatinine changed?,TREND,,
QR_200,No-context/boundary,,What are the main findings in my records?,What are the main findings in my medical records?,GENERAL_RAG,,
