query_id,category,query,expected_intent,expected_entity,predicted_intent,predicted_entity,intent_correct,entity_correct
IC_077,Short/elliptical,Any abnormal results?,ABNORMAL_LABS,,,,,
IC_078,Short/elliptical,Out-of-range tests?,ABNORMAL_LABS,,,,,
IC_079,Short/elliptical,My records?,GENERAL_RAG,,,,,
IC_080,Short/elliptical,Medical report summary?,GENERAL_RAG,,,,,
IC_081,Short/elliptical,Latest platelets?,LATEST_VALUE,platelet count,,,,
IC_082,Short/elliptical,TSH trend?,TREND,TSH,,,,
IC_083,Short/elliptical,Vitamin D meaning?,MEDICAL_DEFINITION,vitamin D,,,,
IC_084,Short/elliptical,Abnormal blood values?,ABNORMAL_LABS,,,,,
IC_085,Short/elliptical,Report overview?,GENERAL_RAG,,,,,
IC_086,Colloquial wording,What's my latest Hb?,LATEST_VALUE,haemoglobin,,,,
IC_087,Colloquial wording,What've I got for glucose most recently?,LATEST_VALUE,glucose,,,,
IC_088,Colloquial wording,What's the newest creatinine reading?,LATEST_VALUE,creatinine,,,,
IC_089,Colloquial wording,How's my Hb been doing?,TREND,haemoglobin,,,,
IC_090,Colloquial wording,Is my sugar going up or down?,TREND,glucose,,,,
IC_091,Colloquial wording,How's my HbA1c looking over time?,TREND,HbA1c,,,,
IC_092,Colloquial wording,What's haemoglobin all about?,MEDICAL_DEFINITION,haemoglobin,,,,
IC_093,Colloquial wording,What exactly is HbA1c?,MEDICAL_DEFINITION,HbA1c,,,,
IC_094,Colloquial wording,What's creatinine used for?,MEDICAL_DEFINITION,creatinine,,,,
IC_095,Colloquial wording,Anything off in my lab results?,ABNORMAL_LABS,,,,,
IC_096,Colloquial wording,Do any of my tests look out of range?,ABNORMAL_LABS,,,,,
IC_097,Colloquial wording,What's abnormal in my blood work?,ABNORMAL_LABS,,,,,
IC_098,Colloquial wording,What's going on in my medical records?,GENERAL_RAG,,,,,
IC_099,Colloquial wording,What do my reports say overall?,GENERAL_RAG,,,,,
IC_100,Colloquial wording,What's important in my medical documents?,GENERAL_RAG,,,,,
IC_101,Colloquial wording,What's my latest platelet number?,LATEST_VALUE,platelet count,,,,
IC_102,Colloquial wording,Is my TSH going up or down?,TREND,TSH,,,,
IC_103,Colloquial wording,What's vitamin D about?,MEDICAL_DEFINITION,vitamin D,,,,
IC_104,Colloquial wording,Anything unusual in my lab work?,ABNORMAL_LABS,,,,,
IC_105,Colloquial wording,What's the overall picture from my reports?,GENERAL_RAG,,,,,
IC_106,Temporal wording,What was my most recent haemoglobin result?,LATEST_VALUE,haemoglobin,,,,
IC_107,Temporal wording,What was the latest glucose reading recorded for me?,LATEST_VALUE,glucose,,,,
IC_108,Temporal wording,What was the newest creatinine result?,LATEST_VALUE,creatinine,,,,
IC_109,Temporal wording,How has my haemoglobin changed recently?,TREND,haemoglobin,,,,
IC_110,Temporal wording,Has my glucose changed over the last few tests?,TREND,glucose,,,,
IC_111,Temporal wording,What has my HbA1c trend been across my tests?,TREND,HbA1c,,,,
IC_112,Temporal wording,What did my previous haemoglobin results show?,GENERAL_RAG,haemoglobin,,,,
IC_113,Temporal wording,How has my creatinine behaved over time?,TREND,creatinine,,,,
IC_114,Temporal wording,What was my latest TSH reading?,LATEST_VALUE,TSH,,,,
IC_115,Temporal wording,What were my abnormal results in my recent tests?,ABNORMAL_LABS,,,,,
IC_116,Temporal wording,Which abnormal results have appeared in my reports?,ABNORMAL_LABS,,,,,
IC_117,Temporal wording,What changed in my recent medical reports?,GENERAL_RAG,,,,,
IC_118,Temporal wording,What was my latest platelet result?,LATEST_VALUE,platelet count,,,,
IC_119,Temporal wording,Has my TSH been stable across recent tests?,TREND,TSH,,,,
IC_120,Temporal wording,What did my most recent blood report contain?,GENERAL_RAG,,,,,
IC_121,Temporal wording,What was my previous glucose result?,LATEST_VALUE,glucose,,,,
IC_122,Temporal wording,How has my vitamin D changed over time?,TREND,vitamin D,,,,
IC_123,Temporal wording,Which lab values have recently been abnormal?,ABNORMAL_LABS,,,,,
IC_124,Temporal wording,What has been mentioned in my recent clinical records?,GENERAL_RAG,,,,,
IC_125,Temporal wording,What was my latest sodium measurement?,LATEST_VALUE,sodium,,,,
IC_126,Medical terminology/abbreviations,What is Hb?,MEDICAL_DEFINITION,haemoglobin,,,,
IC_127,Medical terminology/abbreviations,What is my latest Hb?,LATEST_VALUE,haemoglobin,,,,
IC_128,Medical terminology/abbreviations,What's the Hb trend?,TREND,haemoglobin,,,,
IC_129,Medical terminology/abbreviations,What is HbA1c?,MEDICAL_DEFINITION,HbA1c,,,,
IC_130,Medical terminology/abbreviations,What was my latest HbA1c?,LATEST_VALUE,HbA1c,,,,
IC_131,Medical terminology/abbreviations,How is my HbA1c trending?,TREND,HbA1c,,,,
IC_132,Medical terminology/abbreviations,What does WBC mean?,MEDICAL_DEFINITION,WBC,,,,
IC_133,Medical terminology/abbreviations,What is my latest WBC?,LATEST_VALUE,WBC,,,,
IC_134,Medical terminology/abbreviations,How has my WBC changed?,TREND,WBC,,,,
IC_135,Medical terminology/abbreviations,What does RBC mean?,MEDICAL_DEFINITION,RBC,,,,
IC_136,Medical terminology/abbreviations,What is my latest RBC count?,LATEST_VALUE,RBC,,,,
IC_137,Medical terminology/abbreviations,How has my RBC changed?,TREND,RBC,,,,
IC_138,Medical terminology/abbreviations,What does TSH measure?,MEDICAL_DEFINITION,TSH,,,,
IC_139,Medical terminology/abbreviations,What is my latest TSH?,LATEST_VALUE,TSH,,,,
IC_140,Medical terminology/abbreviations,How has my TSH changed?,TREND,TSH,,,,
IC_141,Medical terminology/abbreviations,What does CRP mean?,MEDICAL_DEFINITION,CRP,,,,
IC_142,Medical terminology/abbreviations,What is my latest CRP?,LATEST_VALUE,CRP,,,,
IC_143,Medical terminology/abbreviations,How has my CRP changed?,TREND,CRP,,,,
IC_144,Medical terminology/abbreviations,What is my latest ALT?,LATEST_VALUE,ALT,,,,
IC_145,Medical terminology/abbreviations,What does ALT measure?,MEDICAL_DEFINITION,ALT,,,,
IC_146,Intent boundary,What is haemoglobin?,MEDICAL_DEFINITION,haemoglobin,,,,
IC_147,Intent boundary,What is my haemoglobin?,LATEST_VALUE,haemoglobin,,,,
IC_148,Intent boundary,What was my haemoglobin?,LATEST_VALUE,haemoglobin,,,,
IC_149,Intent boundary,How has my haemoglobin changed?,TREND,haemoglobin,,,,
IC_150,Intent boundary,Is my haemoglobin abnormal?,ABNORMAL_LABS,haemoglobin,,,,
IC_151,Intent boundary,What does a high haemoglobin value mean?,MEDICAL_DEFINITION,haemoglobin,,,,
IC_152,Intent boundary,What is my latest abnormal haemoglobin result?,ABNORMAL_LABS,haemoglobin,,,,
IC_153,Intent boundary,How has my abnormal haemoglobin result changed?,TREND,haemoglobin,,,,
IC_154,Intent boundary,What is glucose?,MEDICAL_DEFINITION,glucose,,,,
IC_155,Intent boundary,What is my glucose level?,LATEST_VALUE,glucose,,,,
IC_156,Intent boundary,How has my glucose changed?,TREND,glucose,,,,
IC_157,Intent boundary,Is my glucose abnormal?,ABNORMAL_LABS,glucose,,,,
IC_158,Intent boundary,What is my medical history?,GENERAL_RAG,,,,,
IC_159,Intent boundary,What is my latest medical report?,GENERAL_RAG,,,,,
IC_160,Intent boundary,What abnormal findings are in my medical history?,ABNORMAL_LABS,,,,,
IC_161,Intent boundary,What is an abnormal laboratory result?,MEDICAL_DEFINITION,,,,,
IC_162,Intent boundary,What is the latest abnormal lab result in my records?,ABNORMAL_LABS,,,,,
IC_163,Intent boundary,How have my abnormal lab results changed?,TREND,,,,,
IC_164,Intent boundary,What does my latest blood test mean?,GENERAL_RAG,,,,,
IC_165,Intent boundary,What is a blood test?,MEDICAL_DEFINITION,,,,,
IC_166,Ambiguous/robustness,My Hb?,LATEST_VALUE,haemoglobin,,,,
IC_167,Ambiguous/robustness,Hb over time?,TREND,haemoglobin,,,,
IC_168,Ambiguous/robustness,Hb meaning?,MEDICAL_DEFINITION,haemoglobin,,,,
IC_169,Ambiguous/robustness,Hb abnormal?,ABNORMAL_LABS,haemoglobin,,,,
IC_170,Ambiguous/robustness,My glucose result?,LATEST_VALUE,glucose,,,,
IC_171,Ambiguous/robustness,Glucose over time?,TREND,glucose,,,,
IC_172,Ambiguous/robustness,Glucose meaning?,MEDICAL_DEFINITION,glucose,,,,
IC_173,Ambiguous/robustness,Glucose abnormal?,ABNORMAL_LABS,glucose,,,,
IC_174,Ambiguous/robustness,My creatinine?,LATEST_VALUE,creatinine,,,,
IC_175,Ambiguous/robustness,Creatinine trend?,TREND,creatinine,,,,
IC_176,Ambiguous/robustness,Creatinine meaning?,MEDICAL_DEFINITION,creatinine,,,,
IC_177,Ambiguous/robustness,Creatinine abnormal?,ABNORMAL_LABS,creatinine,,,,
IC_178,Ambiguous/robustness,Latest test?,GENERAL_RAG,,,,,
IC_179,Ambiguous/robustness,Recent report?,GENERAL_RAG,,,,,
IC_180,Ambiguous/robustness,Abnormal report?,ABNORMAL_LABS,,,,,
IC_181,Ambiguous/robustness,What does my latest test mean?,GENERAL_RAG,,,,,
IC_182,Ambiguous/robustness,What does my latest Hb mean?,LATEST_VALUE,haemoglobin,,,,
IC_183,Ambiguous/robustness,Is my latest Hb okay?,ABNORMAL_LABS,haemoglobin,,,,
IC_184,Ambiguous/robustness,What happened to my Hb?,TREND,haemoglobin,,,,
IC_185,Ambiguous/robustness,Tell me about my Hb.,GENERAL_RAG,haemoglobin,,,,
IC_186,Conversational phrasing,"Hey, can you check my latest Hb?",LATEST_VALUE,haemoglobin,,,,
IC_187,Conversational phrasing,I was wondering how my glucose has changed.,TREND,glucose,,,,
IC_188,Conversational phrasing,Can you help me understand HbA1c?,MEDICAL_DEFINITION,HbA1c,,,,
IC_189,Conversational phrasing,I'm worried about abnormal results. Which ones are abnormal?,ABNORMAL_LABS,,,,,
IC_190,Conversational phrasing,Can you go over my medical records for me?,GENERAL_RAG,,,,,
IC_191,Conversational phrasing,Could you check what my latest creatinine was?,LATEST_VALUE,creatinine,,,,
IC_192,Conversational phrasing,I'm curious whether my haemoglobin is improving.,TREND,haemoglobin,,,,
IC_193,Conversational phrasing,Can you tell me what TSH is?,MEDICAL_DEFINITION,TSH,,,,
IC_194,Conversational phrasing,I'd like to know if anything in my labs is abnormal.,ABNORMAL_LABS,,,,,
IC_195,Conversational phrasing,Can you give me the big picture from my reports?,GENERAL_RAG,,,,,
IC_196,Conversational phrasing,Do you know my latest platelet count?,LATEST_VALUE,platelet count,,,,
IC_197,Conversational phrasing,I'm trying to understand my glucose trend.,TREND,glucose,,,,
IC_198,Conversational phrasing,Could you explain vitamin D to me?,MEDICAL_DEFINITION,vitamin D,,,,
IC_199,Conversational phrasing,I want to know which tests are abnormal.,ABNORMAL_LABS,,,,,
IC_200,Conversational phrasing,Can you walk me through the important parts of my records?,GENERAL_RAG,,,,,
