query_id,query,expected_intent,predicted_intent,predicted_intents,correct,error,raw_response
INT031,What is my latest LYMPH#?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""LYMPH""}]}"
INT032,Show me the most recent Lymphocytes result.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""Lymphocytes""}]}"
INT033,What's my current M.C.V value?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""M.C.V""}]}"
INT034,Can you find my newest MCHC reading?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""MCHC""}]}"
INT035,What did my latest report say about MONO#?,LATEST_VALUE,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",False,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS"", ""entity"": ""MONO""}]}"
INT036,I need my latest MPV result.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""MPV""}]}"
INT037,Tell me the most recent value for MicroR.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""MICROR""}]}"
INT038,Where is my latest NEUT% result?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""NEUT%""}]}"
INT039,What was my NT pro-BNP in the latest test?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""NT PRO-BNP""}]}"
INT040,Give me the current recorded P.C.V.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""P.C.V.""}]}"
INT041,How has my AVERAGE BLOOD GLUCOSE (CALCULATED) changed over time?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""AVERAGE BLOOD GLUCOSE (CALCULATED)""}]}"
INT042,Is my Albumin - Serum Method: Bromcresol green going up or down?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""ALBUMIN SERUM METHOD BROMCRESOL GREEN""}]}"
INT043,"Compare my Anti HAV IgM, Serum results across my reports.",TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""Anti HAV IgM, Serum""}]}"
INT044,What trend is visible in my BASO%?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""BASO%""}]}"
INT045,Has my BILIRUBIN TOTAL improved or worsened?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""BILIRUBIN_TOTAL""}]}"
INT046,Show the progression of my Basophils.,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""BASEOPHILS""}]}"
INT047,What direction has my Bilirubin - Direct Method : Mod. Jendrassik & Grof's been moving?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""BILIRUBIN_DIRECT_METHOD_MOD_JENDRASSIK_GROF""}]}"
INT048,How has my Bilirubin - Total Method : Mod. Jendrassik&Grof's behaved across the recorded dates?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""BILIRUBIN_TOTAL""}]}"
INT049,Are my Cast results stable over time?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""CAST""}]}"
INT050,Tell me the trend in my Creatinine - Serum Method: Jaffe's Kinetic results.,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""CREATININE""}]}"
INT051,How has my DENGUE IGM changed over time?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""DENGUE IGM""}]}"
INT052,Is my Direct LDL going up or down?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""DIRECT_LDL""}]}"
INT053,Compare my EO# results across my reports.,TREND,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",False,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS"", ""entity"": ""EO#""}]}"
INT054,What trend is visible in my EOSINOPHILS?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""EOSINOPHILS""}]}"
INT055,Has my Eosinophils improved or worsened?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""EOSINOPHILS""}]}"
INT056,Show the progression of my FASTING URINE SUGAR.,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""FASTING URINE SUGAR""}]}"
INT057,What direction has my Fasting Blood Glucose Method: GOD-POD been moving?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""FASTING_BLOOD_GLUCOSE_METHOD_GOD_POD""}]}"
INT058,How has my GAMMA GT behaved across the recorded dates?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""GAMMA_GT""}]}"
INT059,Are my Globulin - Serum Method : Bromcresol green results stable over time?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""Globulin - Serum Method : Bromcresol green""}]}"
INT060,Tell me the trend in my Glycosylated Haemoglobin (HbA1c) (Automated) results.,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""Glycosylated Haemoglobin (HbA1c)""}]}"
INT061,How has my HBA1C (HPLC METHOD) changed over time?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""HBA1C_HPLC_METHOD""}]}"
INT062,Is my HDL CHOLESTROL going up or down?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""HDL_CHOLESTROL""}]}"
INT063,Compare my HDL Cholesterol Method: Direct results across my reports.,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""HDL_CHELSTEROL""}]}"
INT064,What trend is visible in my Haemoglobin?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""HAEMOGLOBIN""}]}"
INT065,Has my IG% improved or worsened?,TREND,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",False,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS"", ""entity"": ""IG%""}]}"
INT066,Show the progression of my Ketone.,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""KETONE""}]}"
INT067,What direction has my LDL Cholesterol been moving?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""LDL_CHOLESTEROL""}]}"
INT068,How has my LVIDs behaved across the recorded dates?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""LVIDS""}]}"
INT069,Are my LYMPH% results stable over time?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""LYMPH%""}]}"
INT070,Tell me the trend in my M.C.H results.,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""M.C.H""}]}"
INT071,How has my MCH changed over time?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""MCH""}]}"
INT072,Is my MCHC. going up or down?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""MCHC""}]}"
INT073,Compare my MONO% results across my reports.,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""MONO%""}]}"
INT074,What trend is visible in my MacroR?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""MacroR""}]}"
INT075,Has my Monocytes improved or worsened?,TREND,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",False,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS"", ""entity"": ""MONOCYTES""}]}"
INT076,Show the progression of my NEUTROPHILS.,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""NEUTROPHILS""}]}"
INT077,What direction has my Neutrophils been moving?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""NEUTROPHILS""}]}"
INT078,How has my PACKED CELL VOLUME behaved across the recorded dates?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""PACKED_CELL_VOLUME""}]}"
INT079,Are my PDW results stable over time?,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""PDW""}]}"
INT080,Tell me the trend in my POST PRANDIAL BLOOD SUGAR results.,TREND,TREND,"[""TREND""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""TREND"", ""entity"": ""POST_PRANDIAL_BLOOD_SUGAR""}]}"
INT081,Which of my lab results are abnormal?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT082,Show me the abnormal tests in my records.,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT083,What lab values are outside their reference ranges?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT084,Do I have any abnormal laboratory results?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT085,Which results were flagged as abnormal?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT086,List the abnormal findings from my lab reports.,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT087,Are any of my lab tests out of range?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT088,What abnormal lab findings are recorded for me?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS"", ""entity"": ""...""}]}"
INT089,Which laboratory values were flagged?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT090,Can you identify my abnormal test results?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT091,Which of my lab results are abnormal?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT092,Show me the abnormal tests in my records.,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT093,What lab values are outside their reference ranges?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT094,Do I have any abnormal laboratory results?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT095,Which results were flagged as abnormal?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT096,List the abnormal findings from my lab reports.,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT097,Are any of my lab tests out of range?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT098,What abnormal lab findings are recorded for me?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT099,Which laboratory values were flagged?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT100,Can you identify my abnormal test results?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT101,Which of my lab results are abnormal?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT102,Show me the abnormal tests in my records.,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT103,What lab values are outside their reference ranges?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT104,Do I have any abnormal laboratory results?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT105,Which results were flagged as abnormal?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT106,List the abnormal findings from my lab reports.,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT107,Are any of my lab tests out of range?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS""}]}"
INT108,What abnormal lab findings are recorded for me?,ABNORMAL_LABS,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS"", ""entity"": ""...""}]}"
